discriminant,regime_code,x,sigma,diffusion,U_geom,U_fin,U_eff
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.445000000000000284e+00,3.195605000000000251e-01,5.105945658012500665e-02,-6.391209999999999600e-03,6.530776249713426962e-02,5.891655249713426135e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.437500000000000000e+00,3.188281250000000178e-01,5.082568664550781573e-02,-6.376562500000000286e-03,6.529372342213787817e-02,5.891716092213787614e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.430000000000000160e+00,3.180980000000000474e-01,5.059316880200001587e-02,-6.361960000000002440e-03,6.528004907801616963e-02,5.891808907801616979e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.422499999999999876e+00,3.173701250000000029e-01,5.036189812125781151e-02,-6.347402499999999122e-03,6.526673733630594665e-02,5.891933483630594492e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.415000000000000036e+00,3.166444999999999954e-01,5.013186969012500133e-02,-6.332889999999999874e-03,6.525378605726378511e-02,5.892089605726377743e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.407499999999999751e+00,3.159211250000000248e-01,4.990307861063281863e-02,-6.318422500000000358e-03,6.524119308972597953e-02,5.892277058972597570e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.399999999999999911e+00,3.152000000000000357e-01,4.967552000000001466e-02,-6.304000000000001443e-03,6.522895627096807203e-02,5.892495627096806798e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.392500000000000071e+00,3.144811250000000280e-01,4.944918899063282386e-02,-6.289622500000000525e-03,6.521707342656421491e-02,5.892745092656420658e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.384999999999999787e+00,3.137645000000000017e-01,4.922408073012499857e-02,-6.275290000000001076e-03,6.520554237024631106e-02,5.893025237024630825e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.377499999999999947e+00,3.130501250000000124e-01,4.900019038125781601e-02,-6.261002500000000491e-03,6.519436090376311277e-02,5.893335840376311141e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.370000000000000107e+00,3.123380000000000045e-01,4.877751312200000189e-02,-6.246760000000000507e-03,6.518352681673890425e-02,5.893676681673890028e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.362499999999999822e+00,3.116281250000000336e-01,4.855604414550782066e-02,-6.232562500000000255e-03,6.517303788653242003e-02,5.894047538653242324e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.354999999999999982e+00,3.109205000000000441e-01,4.833577866012501306e-02,-6.218410000000000604e-03,6.516289187809534700e-02,5.894448187809535333e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.347500000000000142e+00,3.102151250000000360e-01,4.811671188938282384e-02,-6.204302499999999818e-03,6.515308654383096532e-02,5.894878404383095682e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.339999999999999858e+00,3.095120000000000093e-01,4.789883907200000179e-02,-6.190240000000000499e-03,6.514361962345263657e-02,5.895337962345264388e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.332500000000000018e+00,3.088111250000000196e-01,4.768215546188282056e-02,-6.176222500000000913e-03,6.513448884384230586e-02,5.895826634384229714e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.325000000000000178e+00,3.081125000000000114e-01,4.746665632812500230e-02,-6.162250000000000193e-03,6.512569191890914266e-02,5.896344191890913466e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.317499999999999893e+00,3.074161249999999845e-01,4.725233695500780789e-02,-6.148322500000000940e-03,6.511722654944793187e-02,5.896890404944793440e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.310000000000000053e+00,3.067220000000000502e-01,4.703919264200001615e-02,-6.134440000000001419e-03,6.510909042299792282e-02,5.897465042299792487e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.302500000000000213e+00,3.060301250000000417e-01,4.682721870375782663e-02,-6.120602500000001632e-03,6.510128121370142851e-02,5.898067871370142601e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.294999999999999929e+00,3.053405000000000147e-01,4.661641047012500538e-02,-6.106810000000001577e-03,6.509379658216278564e-02,5.898698658216278840e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.287500000000000089e+00,3.046531250000000246e-01,4.640676328613282248e-02,-6.093062500000001255e-03,6.508663417530737016e-02,5.899357167530736717e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.280000000000000249e+00,3.039680000000000160e-01,4.619827251200000345e-02,-6.079359999999999799e-03,6.507979162624093206e-02,5.900043162624093313e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.272499999999999964e+00,3.032851249999999887e-01,4.599093352313280564e-02,-6.065702499999999810e-03,6.507326655410893002e-02,5.900756405410893801e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.265000000000000124e+00,3.026044999999999985e-01,4.578474171012499733e-02,-6.052090000000000421e-03,6.506705656395646298e-02,5.901496656395645996e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.257500000000000284e+00,3.019261250000000452e-01,4.557969247875782309e-02,-6.038522499999999897e-03,6.506115924658814609e-02,5.902263674658814185e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.250000000000000000e+00,3.012500000000000178e-01,4.537578125000000379e-02,-6.025000000000000841e-03,6.505557217842862505e-02,5.903057217842862248e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.242500000000000160e+00,3.005761250000000273e-01,4.517300346000781980e-02,-6.011522500000001518e-03,6.505029292138320152e-02,5.903877042138320347e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.234999999999999876e+00,2.999045000000000183e-01,4.497135456012500698e-02,-5.998090000000001060e-03,6.504531902269908294e-02,5.904722902269908535e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.227500000000000036e+00,2.992351249999999907e-01,4.477083001688281216e-02,-5.984702500000000334e-03,6.504064801482695168e-02,5.905594551482694354e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.219999999999999751e+00,2.985680000000000001e-01,4.457142531200000007e-02,-5.971360000000000209e-03,6.503627741528300588e-02,5.906491741528300393e-02
