alpha,beta,gamma,discriminant,is_hyperbolic,is_parabolic,is_elliptic,min_sigma,max_sigma,min_D,max_D
2.000000000000000042e-02,0.000000000000000000e+00,2.000000000000000111e-01,-1.600000000000000033e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.800000000000000044e-01,2.000000000000000389e-02,7.220000000000000029e-02
1.000000000000000021e-02,1.000000000000000056e-01,2.500000000000000000e-01,1.734723475976807094e-18,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.999999999999995226e-02,6.400000000000000133e-01,7.999999999999980868e-04,2.048000000000000098e-01
1.000000000000000021e-02,1.199999999999999956e-01,3.499999999999999778e-01,4.000000000000010492e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.999999999999996003e-02,7.999999999999999334e-01,3.199999999999996684e-03,3.199999999999999512e-01
